epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,138.724,1.32906,0.84765,0.96467,0.77799,0.6057,0.68741,0.41416,1.44821,1.01359,1.05372,0.0011882,0.0011882,0.0011882
43,141.104,1.35582,0.87457,0.95135,0.75883,0.62296,0.70482,0.43089,1.41232,0.94899,1.05275,0.0011684,0.0011684,0.0011684
44,143.414,1.33444,0.87425,0.9876,0.81026,0.59732,0.69302,0.4166,1.40804,0.96332,1.05597,0.0011486,0.0011486,0.0011486
45,145.704,1.29205,0.8365,0.94756,0.80549,0.60906,0.70717,0.43748,1.37534,0.95138,1.04399,0.0011288,0.0011288,0.0011288
46,148.034,1.28741,0.84614,0.96162,0.82177,0.59732,0.70136,0.43308,1.37315,0.94435,1.04103,0.001109,0.001109,0.001109
47,150.504,1.29803,0.82812,0.94688,0.78705,0.63926,0.71456,0.43834,1.38351,0.92567,1.03806,0.0010892,0.0010892,0.0010892
48,152.859,1.29476,0.83151,0.95809,0.81405,0.61409,0.69532,0.41764,1.43951,0.9539,1.06803,0.0010694,0.0010694,0.0010694
49,155.114,1.29742,0.82544,0.95814,0.78772,0.62262,0.70467,0.43609,1.38568,0.94681,1.03526,0.0010496,0.0010496,0.0010496
50,157.408,1.29015,0.80469,0.96419,0.78567,0.63591,0.71769,0.44396,1.36717,0.93296,1.03202,0.0010298,0.0010298,0.0010298
51,159.744,1.25814,0.81176,0.95398,0.76964,0.62224,0.70372,0.42443,1.39244,0.98456,1.04401,0.00101,0.00101,0.00101
52,161.984,1.26367,0.80302,0.94678,0.81072,0.57718,0.68605,0.414,1.45438,0.99982,1.06317,0.0009902,0.0009902,0.0009902
53,164.346,1.27676,0.81618,0.95725,0.75251,0.64094,0.71676,0.43646,1.40285,0.97085,1.04526,0.0009704,0.0009704,0.0009704
54,166.81,1.28538,0.79342,0.94526,0.74419,0.65268,0.71303,0.43918,1.34637,0.95584,1.02777,0.0009506,0.0009506,0.0009506
55,169.104,1.24837,0.80125,0.95823,0.73213,0.65436,0.70759,0.42579,1.40746,0.93162,1.04675,0.0009308,0.0009308,0.0009308
56,171.608,1.26262,0.79673,0.93488,0.74811,0.63785,0.70909,0.43999,1.37561,0.93377,1.04137,0.000911,0.000911,0.000911
57,173.936,1.20741,0.77018,0.94307,0.83754,0.59683,0.72188,0.45185,1.34412,0.93174,1.02426,0.0008912,0.0008912,0.0008912
58,176.25,1.23936,0.77763,0.93826,0.77237,0.62248,0.70609,0.43982,1.37836,0.93781,1.03837,0.0008714,0.0008714,0.0008714
59,178.608,1.25219,0.79046,0.94877,0.7531,0.64094,0.72119,0.44808,1.33477,0.91511,1.01934,0.0008516,0.0008516,0.0008516
60,180.912,1.24389,0.80795,0.96171,0.75876,0.64094,0.71819,0.43283,1.37068,0.94455,1.02321,0.0008318,0.0008318,0.0008318
61,183.334,1.19944,0.76867,0.93641,0.82274,0.61409,0.71998,0.44164,1.33251,0.94909,1.02017,0.000812,0.000812,0.000812
62,185.679,1.20417,0.77875,0.93876,0.85135,0.60403,0.73072,0.45056,1.34914,0.93745,1.03066,0.0007922,0.0007922,0.0007922
63,188.034,1.21821,0.76033,0.93742,0.81481,0.61745,0.71874,0.44038,1.38588,0.94042,1.03921,0.0007724,0.0007724,0.0007724
64,190.354,1.19857,0.74398,0.9212,0.73628,0.6594,0.72281,0.44917,1.34348,0.92963,1.02237,0.0007526,0.0007526,0.0007526
65,192.684,1.20666,0.75394,0.93859,0.76909,0.65772,0.72224,0.44567,1.36094,0.9082,1.01733,0.0007328,0.0007328,0.0007328
66,194.976,1.17159,0.73867,0.91643,0.7779,0.64262,0.71204,0.43549,1.37169,0.92466,1.02669,0.000713,0.000713,0.000713
67,197.334,1.18553,0.73911,0.91834,0.76796,0.65268,0.71916,0.43959,1.36957,0.93538,1.02829,0.0006932,0.0006932,0.0006932
68,199.784,1.21068,0.75265,0.93016,0.76757,0.6745,0.72757,0.45171,1.36522,0.92364,1.02711,0.0006734,0.0006734,0.0006734
69,202.084,1.15968,0.71634,0.92213,0.75869,0.66275,0.7144,0.4444,1.36203,0.92061,1.02154,0.0006536,0.0006536,0.0006536
70,204.764,1.1976,0.74358,0.9163,0.73187,0.67953,0.72176,0.44545,1.36855,0.89908,1.01895,0.0006338,0.0006338,0.0006338
71,207.304,1.18583,0.72344,0.91823,0.74328,0.65436,0.71764,0.4359,1.40568,0.91304,1.03833,0.000614,0.000614,0.000614
72,209.734,1.15578,0.72069,0.90978,0.73862,0.67953,0.72554,0.44874,1.35666,0.87921,1.01981,0.0005942,0.0005942,0.0005942
73,212.15,1.14052,0.7134,0.91873,0.79653,0.65772,0.73313,0.4544,1.36725,0.88498,1.02072,0.0005744,0.0005744,0.0005744
74,214.652,1.19193,0.74973,0.93325,0.80277,0.6443,0.72626,0.45192,1.3526,0.87313,1.01283,0.0005546,0.0005546,0.0005546
75,217.224,1.14082,0.70991,0.91813,0.81896,0.64597,0.72307,0.45067,1.34419,0.89495,1.01252,0.0005348,0.0005348,0.0005348
76,219.694,1.17695,0.71962,0.93027,0.80884,0.62584,0.70948,0.44258,1.3674,0.90266,1.02637,0.000515,0.000515,0.000515
77,222.024,1.14357,0.71312,0.90416,0.78683,0.65649,0.72201,0.44425,1.37561,0.89961,1.01965,0.0004952,0.0004952,0.0004952
78,224.264,1.09016,0.68243,0.90204,0.75336,0.66626,0.71482,0.44605,1.36151,0.91237,1.02942,0.0004754,0.0004754,0.0004754
79,226.736,1.12096,0.69943,0.9088,0.84386,0.60757,0.71926,0.44717,1.37296,0.89114,1.03511,0.0004556,0.0004556,0.0004556
80,229.108,1.15647,0.69566,0.90989,0.83929,0.62584,0.72385,0.45073,1.35849,0.89144,1.02689,0.0004358,0.0004358,0.0004358
81,231.424,1.19172,0.73279,0.92822,0.85834,0.61577,0.72616,0.4509,1.36305,0.8778,1.02451,0.000416,0.000416,0.000416
82,233.72,1.14049,0.70193,0.92619,0.74877,0.67282,0.72022,0.45211,1.34708,0.87262,1.02467,0.0003962,0.0003962,0.0003962
83,236.073,1.14921,0.70499,0.91739,0.83714,0.60403,0.71745,0.44075,1.36354,0.88491,1.04155,0.0003764,0.0003764,0.0003764
84,238.52,1.11325,0.6872,0.89872,0.84433,0.61074,0.72715,0.44972,1.34884,0.87743,1.02963,0.0003566,0.0003566,0.0003566
85,240.816,1.09744,0.6831,0.90485,0.84345,0.61472,0.72958,0.4514,1.35972,0.87122,1.03111,0.0003368,0.0003368,0.0003368
86,243.104,1.06354,0.68316,0.91325,0.73746,0.68624,0.73297,0.45623,1.35583,0.86192,1.02656,0.000317,0.000317,0.000317
87,245.443,1.08108,0.6558,0.90854,0.78999,0.6564,0.72852,0.45505,1.34304,0.87233,1.01522,0.0002972,0.0002972,0.0002972
88,247.709,1.1078,0.69119,0.90503,0.77999,0.66275,0.72419,0.45497,1.34207,0.88239,1.01393,0.0002774,0.0002774,0.0002774
89,250.032,1.08267,0.66466,0.89519,0.75445,0.67617,0.72769,0.45498,1.34161,0.88962,1.0158,0.0002576,0.0002576,0.0002576
